current,id,author,editor,advisor,note,title,pages,article_no,num_pages,keywords,doi,journal,issue_date,volume,issue_no,description,month,year,issn,booktitle,acronym,edition,isbn,conf_loc,publisher,publisher_loc
7350,507601,Zhenqiang  Chen and Baowen  Xu and Huiming  Yu,,,,Detecting Concurrently Executed Pairs of Statements Using an Adapted MHP Algorithm,107--114,,8,"Concurrent program, MHP algorithm, control flow graph, program analysis",10.1145/507574.507601,,,,,,,2001,,Proceedings of the 2001 Annual ACM SIGAda International Conference on Ada,SIGAda '01,,1-58113-392-8,"Bloomington, MN",ACM,"New York, NY, USA"
7351,1878006,Graham  Coleman and Fernando  Villavicencio,,,,Predicting Transformed Audio Descriptors: A System Design and Evaluation,5--8,,4,"descriptor-driven transformation, digital audio effects, spectral models, support vector machines",10.1145/1878003.1878006,,,,,,,2010,,Proceedings of 3rd International Workshop on Machine Learning and Music,MML '10,,978-1-4503-0161-9,"Firenze, Italy",ACM,"New York, NY, USA"
7352,1811119,Jinhai  Qiu and Sherief  Reda and Soha  Hassoun,,,,"Fast, Accurate a Priori Routing Delay Estimation",77--82,,6,"delay estimation, interconnects, placement and routing.",10.1145/1811100.1811119,,,,,,,2010,,Proceedings of the 12th ACM/IEEE International Workshop on System Level Interconnect Prediction,SLIP '10,,978-1-4503-0037-7,"Anaheim, California, USA",ACM,"New York, NY, USA"
7353,1064343,Jim  Challenger and Paul  Dantzig and Arun  Iyengar and Karen  Witting,,,,A Fragment-based Approach for Efficiently Creating Dynamic Web Content,359--389,,31,"Caching, Web, Web performance, dynamic content, fragments, publishing",10.1145/1064340.1064343,ACM Trans. Internet Technol.,5-May,5,2,,May,2005,1533-5399,,,,,,ACM,"New York, NY, USA"
7354,1356915,Pei-Yu  Huang and Chih-Kang  Lin and Yu-Min  Lee,,,,Full-chip Thermal Analysis for the Early Design Stage via Generalized Integral Transforms,462--467,,6,,,,,,,,,2008,,Proceedings of the 2008 Asia and South Pacific Design Automation Conference,ASP-DAC '08,,978-1-4244-1922-7,"Seoul, Korea",IEEE Computer Society Press,"Los Alamitos, CA, USA"
7355,337394,Shukri J. Souri and Kaustav  Banerjee and Amit  Mehrotra and Krishna C. Saraswat,,,,"Multiple Si Layer ICs: Motivation, Performance Analysis, and Design Implications",213--220,,8,,10.1145/337292.337394,,,,,,,2000,,Proceedings of the 37th Annual Design Automation Conference,DAC '00,,1-58113-187-9,"Los Angeles, California, USA",ACM,"New York, NY, USA"
7356,2493410,Michael J. Lee and Andrew J. Ko and Irwin  Kwan,,,,In-game Assessments Increase Novice Programmers' Engagement and Level Completion Speed,153--160,,8,"assessment, debugging, educational game, engagement, programming, serious game, speed",10.1145/2493394.2493410,,,,,,,2013,,Proceedings of the Ninth Annual International ACM Conference on International Computing Education Research,ICER '13,,978-1-4503-2243-0,"San Diego, San California, USA",ACM,"New York, NY, USA"
7357,2037376,Gunhyuk  Park and Seungmoon  Choi and Kyunghun  Hwang and Sunwook  Kim and Jaecheon  Sa and Moonchae  Joung,,,,Tactile Effect Design and Evaluation for Virtual Buttons on a Mobile Device Touchscreen,11--20,,10,"adjective rating, evaluation, mobile device, modeling, touch screen, vibrotactile feedback, virtual button",10.1145/2037373.2037376,,,,,,,2011,,Proceedings of the 13th International Conference on Human Computer Interaction with Mobile Devices and Services,MobileHCI '11,,978-1-4503-0541-9,"Stockholm, Sweden",ACM,"New York, NY, USA"
7358,2030163,Eric C. Larson and TienJui  Lee and Sean  Liu and Margaret  Rosenfeld and Shwetak N. Patel,,,,Accurate and Privacy Preserving Cough Sensing Using a Low-cost Microphone,375--384,,10,"cough detection, health, mobile phones, privacy, sensing, signal processing",10.1145/2030112.2030163,,,,,,,2011,,Proceedings of the 13th International Conference on Ubiquitous Computing,UbiComp '11,,978-1-4503-0630-0,"Beijing, China",ACM,"New York, NY, USA"
7359,968160,G.  Lagorio,,,,Another Step Towards a Smart Compilation Manager for Java,1275--1280,,6,"Java, separate compilation",10.1145/967900.968160,,,,,,,2004,,Proceedings of the 2004 ACM Symposium on Applied Computing,SAC '04,,1-58113-812-1,"Nicosia, Cyprus",ACM,"New York, NY, USA"
7360,1874772,Siddharth  Garg and Diana  Marculescu,,,,System-level Process Variability Analysis and Mitigation for 3D MPSoCs,604--609,,6,,,,,,,,,2009,,"Proceedings of the Conference on Design, Automation and Test in Europe",DATE '09,,978-3-9810801-5-5,"Nice, France",European Design and Automation Association,"3001 Leuven, Belgium, Belgium"
7361,2180872,Aditya  Pal and F. Maxwell  Harper and Joseph A.  Konstan,,,,Exploring Question Selection Bias to Identify Experts and Potential Experts in Community Question Answering,10:1--10:28,10,28,"Expert identification, community question answering, question selection process",10.1145/2180868.2180872,ACM Trans. Inf. Syst.,12-May,30,2,,May,2012,1046-8188,,,,,,ACM,"New York, NY, USA"
7362,1862204,Alfredo  Nantes and Ross  Brown and Frederic  Maire,,,,Measuring Visual Consistency in 3D Rendering Systems,43--52,,10,"computer game testing, computer vision, synthetic image analysis",,,,,,,,2010,,Proceedings of the Thirty-Third Australasian Conferenc on Computer Science - Volume 102,ACSC '10,,978-1-920682-83-5,"Brisbane, Australia","Australian Computer Society, Inc.","Darlinghurst, Australia, Australia"
7363,1921447,Taesoo  Kwon and Jessica  Hodgins,,,,Control Systems for Human Running Using an Inverted Pendulum Model and a Reference Motion Capture Sequence,129--138,,10,,,,,,,,,2010,,Proceedings of the 2010 ACM SIGGRAPH/Eurographics Symposium on Computer Animation,SCA '10,,,"Madrid, Spain",Eurographics Association,"Aire-la-Ville, Switzerland, Switzerland"
7364,379018,Aarti  Gupta and Anubhav  Gupta and Zijiang  Yang and Pranav  Ashar,,,,Dynamic Detection and Removal of Inactive Clauses in SAT with Application in Image Computation,536--541,,6,,10.1145/378239.379018,,,,,,,2001,,Proceedings of the 38th Annual Design Automation Conference,DAC '01,,1-58113-297-2,"Las Vegas, Nevada, USA",ACM,"New York, NY, USA"
7365,1995923,Teresa  Davies and Christer  Karlsson and Hui  Liu and Chong  Ding and Zizhong  Chen,,,,High Performance Linpack Benchmark: A Fault Tolerant Implementation Without Checkpointing,162--171,,10,"algorithm-based recovery, fault tolerance, high performance linpack benchmark, lu factorization",10.1145/1995896.1995923,,,,,,,2011,,Proceedings of the International Conference on Supercomputing,ICS '11,,978-1-4503-0102-2,"Tucson, Arizona, USA",ACM,"New York, NY, USA"
7366,1356818,Love  Singhal and Sejong  Oh and Eli  Bozorgzadeh,,,,Statistical Power Profile Correlation for Realistic Thermal Estimation,67--70,,4,,,,,,,,,2008,,Proceedings of the 2008 Asia and South Pacific Design Automation Conference,ASP-DAC '08,,978-1-4244-1922-7,"Seoul, Korea",IEEE Computer Society Press,"Los Alamitos, CA, USA"
7367,1667788,Michael  Paul and Andrew  Finch and Eiichiro  Sumita,,,,Language Independent Word Segmentation for Statistical Machine Translation,36--40,,5,,10.1145/1667780.1667788,,,,,,,2009,,Proceedings of the 3rd International Universal Communication Symposium,IUCS '09,,978-1-60558-641-0,"Tokyo, Japan",ACM,"New York, NY, USA"
7368,1068340,Kenneth  Stanley and Nate  Kohl and Rini  Sherony and Risto  Miikkulainen,,,,Neuroevolution of an Automobile Crash Warning System,1977--1984,,8,"NEAT, neuroevolution, vehicle, warning",10.1145/1068009.1068340,,,,,,,2005,,Proceedings of the 7th Annual Conference on Genetic and Evolutionary Computation,GECCO '05,,1-59593-010-8,"Washington DC, USA",ACM,"New York, NY, USA"
7369,584918,Un Yong Nahm and Raymond J. Mooney,,,,Mining Soft-matching Association Rules,681--683,,3,"association rules, noisy databases, text mining, textual databases",10.1145/584792.584918,,,,,,,2002,,Proceedings of the Eleventh International Conference on Information and Knowledge Management,CIKM '02,,1-58113-492-4,"McLean, Virginia, USA",ACM,"New York, NY, USA"
7370,1631001,Keigo  Kitamura and Toshihiko  Yamasaki and Kiyoharu  Aizawa,,,,"FoodLog: Capture, Analysis and Retrieval of Personal Food Images via Web",23--30,,8,"food, life-log, multimedia interfaces",10.1145/1630995.1631001,,,,,,,2009,,Proceedings of the ACM Multimedia 2009 Workshop on Multimedia for Cooking and Eating Activities,CEA '09,,978-1-60558-763-9,"Beijing, China",ACM,"New York, NY, USA"
7371,2335821,Lev D. Gelb,,,,Monte Carlo Strategies for First-principles Simulations of Elemental Systems,25:1--25:7,25,7,"Monte Carlo, materials science, molecular modeling, statistical mechanics, thermodynamics",10.1145/2335755.2335821,,,,,,,2012,,Proceedings of the 1st Conference of the Extreme Science and Engineering Discovery Environment: Bridging from the eXtreme to the Campus and Beyond,XSEDE '12,,978-1-4503-1602-6,"Chicago, Illinois, USA",ACM,"New York, NY, USA"
7372,1835675,Ben  Carterette and Evangelos  Kanoulas and Emine  Yilmaz,,,,Low Cost Evaluation in Information Retrieval,903--903,,1,"evaluation, information retrieval, test collections",10.1145/1835449.1835675,,,,,,,2010,,Proceedings of the 33rd International ACM SIGIR Conference on Research and Development in Information Retrieval,SIGIR '10,,978-1-4503-0153-4,"Geneva, Switzerland",ACM,"New York, NY, USA"
7373,1806478,Mahesh M. Bundele and Rahul  Banerjee,,,,Detection of Fatigue of Vehicular Driver Using Skin Conductance and Oximetry Pulse: A Neural Network Approach,739--744,,6,"drowsy driver, fatigue detection, multilayer perceptron neural networks, oximetry pulse, skin conductance, stress level, wearable computer",10.1145/1806338.1806478,,,,,,,2009,,Proceedings of the 11th International Conference on Information Integration and Web-based Applications &Amp; Services,iiWAS '09,,978-1-60558-660-1,"Kuala Lumpur, Malaysia",ACM,"New York, NY, USA"
7374,1189188,Soumaya  Hamouda and Sami  Tabbane and Philippe  Godlewski,,,,Improved Reuse Partitioning and Power Control for Downlink Multi-cell OFDMA Systems,,1,,"OFDMA, co-channel interference, frequency reuse, multi-cell, power control, subcarrier assignment",10.1145/1189186.1189188,,,,,,,2006,,Proceedings of the 2006 Workshop on Broadband Wireless Access for Ubiquitous Networking,BWAN '06,,1-59593-532-0,"Alghero, Italy",ACM,"New York, NY, USA"
7375,2063888,Andrey  Kustarev and Yury  Ustinovsky and Yury  Logachev and Evgeny  Grechnikov and Ilya  Segalovich and Pavel  Serdyukov,,,,Smoothing NDCG Metrics Using Tied Scores,2053--2056,,4,"information retrieval measures, learning to rank, ranking function",10.1145/2063576.2063888,,,,,,,2011,,Proceedings of the 20th ACM International Conference on Information and Knowledge Management,CIKM '11,,978-1-4503-0717-8,"Glasgow, Scotland, UK",ACM,"New York, NY, USA"
7376,1355991,Antonios  Deligiannakis and Yannis  Kotidis and Nick  Roussopoulos,,,,Bandwidth-constrained Queries in Sensor Networks,443--467,,25,"In-network aggregation, Sensor networks",10.1007/s00778-006-0016-z,The VLDB Journal,8-May,17,3,,May,2008,1066-8888,,,,,,"Springer-Verlag New York, Inc.","Secaucus, NJ, USA"
7377,2124320,Oren  Tsur and Ari  Rappoport,,,,What's in a Hashtag?: Content Based Prediction of the Spread of Ideas in Microblogging Communities,643--652,,10,"hashtags, information diffusion, microblogging, social media, twitter",10.1145/2124295.2124320,,,,,,,2012,,Proceedings of the Fifth ACM International Conference on Web Search and Data Mining,WSDM '12,,978-1-4503-0747-5,"Seattle, Washington, USA",ACM,"New York, NY, USA"
7378,2336737,Jasper  van Vught and Gareth  Schott and Rapha&#235;l  Marczak,,,,Understanding Player Experience Finding a Usable Model for Game Classification,10:1--10:8,10,8,"classification, configuration, interpretation, player accounts, player experience",10.1145/2336727.2336737,,,,,,,2012,,Proceedings of The 8th Australasian Conference on Interactive Entertainment: Playing the System,IE '12,,978-1-4503-1410-7,"Auckland, New Zealand",ACM,"New York, NY, USA"
7379,2505984,Chung-Chi  Huang and Mei-Hua  Chen and Ping-Che  Yang and Jason S.  Chang,,,,A Computer-Assisted Translation and Writing System,15:1--15:20,15,20,"Computer-assisted translation, computer-assisted language learning, grammar and text prediction, grammar pattern, translation model and language model, word usage",10.1145/2505984,,13-Oct,12,4,,October,2013,1530-0226,,,,,,ACM,"New York, NY, USA"
7380,2124369,Ingmar  Weber and Antti  Ukkonen and Aris  Gionis,,,,"Answers, Not Links: Extracting Tips from Yahoo! Answers to Address How-to Web Queries",613--622,,10,"direct display, how-to queries, tips, web search",10.1145/2124295.2124369,,,,,,,2012,,Proceedings of the Fifth ACM International Conference on Web Search and Data Mining,WSDM '12,,978-1-4503-0747-5,"Seattle, Washington, USA",ACM,"New York, NY, USA"
7381,2185455,Syed Taha  Ali and Vijay  Sivaraman and Diethelm  Ostry,,,,Zero Reconciliation Secret Key Generation for Body-worn Health Monitoring Devices,39--50,,12,"body area networks, secret-key generation",10.1145/2185448.2185455,,,,,,,2012,,Proceedings of the Fifth ACM Conference on Security and Privacy in Wireless and Mobile Networks,WISEC '12,,978-1-4503-1265-3,"Tucson, Arizona, USA",ACM,"New York, NY, USA"
7382,1073363,Julia  Hirschberg and Diane  Litman and Marc  Swerts,,,,Identifying User Corrections Automatically in Spoken Dialogue Systems,1--8,,8,,10.3115/1073336.1073363,,,,,,,2001,,Proceedings of the Second Meeting of the North American Chapter of the Association for Computational Linguistics on Language Technologies,NAACL '01,,,"Pittsburgh, Pennsylvania",Association for Computational Linguistics,"Stroudsburg, PA, USA"
7383,1363986,Harini N Kasamsetty and Xiaogang  Wu and Jake Yue Chen,,,,Towards an Integrative Human Pathway Database for Systems Biology Applications,1297--1301,,5,"bio-molecular pathway, data integration, signaling pathways",10.1145/1363686.1363986,,,,,,,2008,,Proceedings of the 2008 ACM Symposium on Applied Computing,SAC '08,,978-1-59593-753-7,"Fortaleza, Ceara, Brazil",ACM,"New York, NY, USA"
7384,2212933,Francesca  Palumbo and Danilo  Pani and Andrea  Congiu and Luigi  Raffo,,,,Concurrent Hybrid Switching for Massively Parallel Systems-on-chip: The CYBER Architecture,173--182,,10,"hybrid switching, mpsoc, noc, prioritized best effort, qos",10.1145/2212908.2212933,,,,,,,2012,,Proceedings of the 9th Conference on Computing Frontiers,CF '12,,978-1-4503-1215-8,"Cagliari, Italy",ACM,"New York, NY, USA"
7385,765223,Bettina  Berendt and Myra  Spiliopoulou,,,,Analysis of Navigation Behaviour in Web Sites Integrating Multiple Information Systems,56--75,,20,"Conceptual hierarchies, Data mining, Query capabilities, Web databases, Web query interfaces, Web usage mining",10.1007/s007780050083,The VLDB Journal,Mar-00,9,1,,March,2000,1066-8888,,,,,,"Springer-Verlag New York, Inc.","Secaucus, NJ, USA"
7386,367709,,,,,An Introduction to Quantum Computing for Non-physicists,300--335,,36,"complexity, parallelism, quantum computing",10.1145/367701.367709,ACM Comput. Surv.,Sept. 2000,32,3,,September,2000,0360-0300,,,,,,ACM,"New York, NY, USA"
7387,1772755,Jure  Leskovec and Kevin J. Lang and Michael  Mahoney,,,,Empirical Comparison of Algorithms for Network Community Detection,631--640,,10,"community structure, conductance, flow-based methods, graph partitioning, spectral methods",10.1145/1772690.1772755,,,,,,,2010,,Proceedings of the 19th International Conference on World Wide Web,WWW '10,,978-1-60558-799-8,"Raleigh, North Carolina, USA",ACM,"New York, NY, USA"
7388,2188164,Sihong  Xie and Guan  Wang and Shuyang  Lin and Philip S. Yu,,,,Review Spam Detection via Time Series Pattern Discovery,635--636,,2,"adversarial data mining, review spam, time series",10.1145/2187980.2188164,,,,,,,2012,,Proceedings of the 21st International Conference on World Wide Web,WWW '12 Companion,,978-1-4503-1230-1,"Lyon, France",ACM,"New York, NY, USA"
7389,1163632,Lance  Doherty and Dana A. Teasdale,,,,Towards 100% Reliability in Wireless Monitoring Networks,132--135,,4,"case studies, experimental evaluation, performance analysis, wireless mesh networks",10.1145/1163610.1163632,,,,,,,2006,,"Proceedings of the 3rd ACM International Workshop on Performance Evaluation of Wireless Ad Hoc, Sensor and Ubiquitous Networks",PE-WASUN '06,,1-59593-487-1,"Terromolinos, Spain",ACM,"New York, NY, USA"
7390,584797,Deepayan  Chakrabarti and Christos  Faloutsos,,,,F4: Large-scale Automated Forecasting Using Fractals,2--9,,8,"automated forecasting, fractals, time series",10.1145/584792.584797,,,,,,,2002,,Proceedings of the Eleventh International Conference on Information and Knowledge Management,CIKM '02,,1-58113-492-4,"McLean, Virginia, USA",ACM,"New York, NY, USA"
7391,1870934,Sandro  Penolazzi and Ingo  Sander and Ahmed  Hemani,,,,Predicting Energy and Performance Overhead of Real-time Operating Systems,15--20,,6,,,,,,,,,2010,,"Proceedings of the Conference on Design, Automation and Test in Europe",DATE '10,,978-3-9810801-6-2,"Dresden, Germany",European Design and Automation Association,"3001 Leuven, Belgium, Belgium"
7392,1667786,Zhongjun  He and Yao  Meng and Hao  Yu,,,,Discarding Monotone Composed Rule for Hierarchical Phrase-based Statistical Machine Translation,25--29,,5,"monotone composed rule, rule table reduction, statistical machine translation",10.1145/1667780.1667786,,,,,,,2009,,Proceedings of the 3rd International Universal Communication Symposium,IUCS '09,,978-1-60558-641-0,"Tokyo, Japan",ACM,"New York, NY, USA"
7393,1871536,Damon  Sotoudeh and Aijun  An,,,,Partial Drift Detection Using a Rule Induction Framework,769--778,,10,"classification, concept drift detection, rule induction",10.1145/1871437.1871536,,,,,,,2010,,Proceedings of the 19th ACM International Conference on Information and Knowledge Management,CIKM '10,,978-1-4503-0099-5,"Toronto, ON, Canada",ACM,"New York, NY, USA"
7394,1111469,Naomi  Yamashita and Toru  Ishida,,,,Automatic Prediction of Misconceptions in Multilingual Computer-mediated Communication,62--69,,8,"computer-mediated communication, machine translation, misconception, multilingual groups",10.1145/1111449.1111469,,,,,,,2006,,Proceedings of the 11th International Conference on Intelligent User Interfaces,IUI '06,,1-59593-287-9,"Sydney, Australia",ACM,"New York, NY, USA"
7395,2381438,Myounghoon  Jeon and Jung-Bin  Yim and Bruce N. Walker,,,,"An Angry Driver is Not the Same As a Fearful Driver: Effects of Specific Negative Emotions on Risk Perception, Driving Performance, and Workload",137--142,,6,"affective effects, driving simulation, emotions, perceived workload, risk perception",10.1145/2381416.2381438,,,,,,,2011,,Proceedings of the 3rd International Conference on Automotive User Interfaces and Interactive Vehicular Applications,AutomotiveUI '11,,978-1-4503-1231-8,"Salzburg, Austria",ACM,"New York, NY, USA"
7396,1190145,David  Raz and Benjamin  Avi-Itzhak and Hanoch  Levy,,,,Fairness Considerations of Scheduling in Multi-server and Multi-queue Systems,,39,,"FCFS, fairness, job scheduling, multi-queue, multi-server, resource allocation, unfairness",10.1145/1190095.1190145,,,,,,,2006,,Proceedings of the 1st International Conference on Performance Evaluation Methodolgies and Tools,valuetools '06,,1-59593-504-5,"Pisa, Italy",ACM,"New York, NY, USA"
7397,2043018,Konstantinos  Pelechrinis and Ioannis  Broustis and Srikanth V. Krishnamurthy and Christos  Gkantsidis,,,,A Measurement-driven Anti-jamming System for 802.11 Networks,1208--1222,,15,"IEEE 802.11, jamming, power control, rate control",10.1109/TNET.2011.2106139,IEEE/ACM Trans. Netw.,11-Aug,19,4,,August,2011,1063-6692,,,,,,IEEE Press,"Piscataway, NJ, USA"
7398,1341091,Huijie  Zhang and Jigui  Sun and Jin  Liu and Nan  Lv,,,,A New Simplification Method for Terrain Model Using Discrete Particle Swarm Optimization,67:1--67:4,67,4,"DPSO algorithm, evaluation function, model simplification, quad-tree hierarchy",10.1145/1341012.1341091,,,,,,,2007,,Proceedings of the 15th Annual ACM International Symposium on Advances in Geographic Information Systems,GIS '07,,978-1-59593-914-2,"Seattle, Washington",ACM,"New York, NY, USA"
7399,2369201,Charles  Shen and Erich  Nahum and Henning  Schulzrinne and Charles P. Wright,,,,The Impact of TLS on SIP Server Performance: Measurement and Modeling,1217--1230,,14,"computer networks, internet telephony, performance evaluation, security",10.1109/TNET.2011.2180922,IEEE/ACM Trans. Netw.,12-Aug,20,4,,August,2012,1063-6692,,,,,,IEEE Press,"Piscataway, NJ, USA"
7400,1070013,Jayanth  Srinivasan and Sarita V. Adve and Pradip  Bose and Jude A. Rivers,,,,Exploiting Structural Duplication for Lifetime Reliability Enhancement,520--531,,12,,10.1145/1080695.1070013,SIGARCH Comput. Archit. News,5-May,33,2,,May,2005,0163-5964,,,,,,ACM,"New York, NY, USA"
7401,1049243,Hua  Wang and Miguel  Miranda and Wim  Dehaene and Francky  Catthoor and Karen  Maex,,,,Systematic Analysis of Energy and Delay Impact of Very Deep Submicron Process Variability Effects in Embedded SRAM Modules,914--919,,6,,10.1109/DATE.2005.291,,,,,,,2005,,"Proceedings of the Conference on Design, Automation and Test in Europe - Volume 2",DATE '05,,0-7695-2288-2,,IEEE Computer Society,"Washington, DC, USA"
7402,1722093,Satyen  Abrol and Latifur  Khan,,,,TWinner: Understanding News Queries with Geo-content Using Twitter,10:1--10:8,10,8,"geographic information retrieval, news queries, search engines",10.1145/1722080.1722093,,,,,,,2010,,Proceedings of the 6th Workshop on Geographic Information Retrieval,GIR '10,,978-1-60558-826-1,"Zurich, Switzerland",ACM,"New York, NY, USA"
7403,1921626,Chieh-Yih  Wan and Shane B. Eisenman and Andrew T. Campbell,,,,Energy-efficient Congestion Detection and Avoidance in Sensor Networks,32:1--32:31,32,31,"Sensor networks, congestion control",10.1145/1921621.1921626,ACM Trans. Sen. Netw.,11-Feb,7,4,,February,2011,1550-4859,,,,,,ACM,"New York, NY, USA"
7404,1022448,Chao-Yong  Hsu and Chun-Shien  Lu,,,,Geometric Distortion-resilient Image Hashing System and Its Application Scalability,81--92,,12,,10.1145/1022431.1022448,,,,,,,2004,,Proceedings of the 2004 Workshop on Multimedia and Security,MM&#38;Sec '04,,1-58113-854-7,"Magdeburg, Germany",ACM,"New York, NY, USA"
7405,1582543,Yinan  Qi and Reza  Hoshyar and Rahim  Tafazolli,,,,Efficient Hybrid Relaying Schemes with Limited Feedback,754--758,,5,"channel state information (CSI), compress-and-forward (CF), decode-and-forward (DF), half-duplex relay channel, quantise-and-forward (QF)",10.1145/1582379.1582543,,,,,,,2009,,Proceedings of the 2009 International Conference on Wireless Communications and Mobile Computing: Connecting the World Wirelessly,IWCMC '09,,978-1-60558-569-7,"Leipzig, Germany",ACM,"New York, NY, USA"
7406,956797,Gregory  Piatetsky-Shapiro and Tom  Khabaza and Sridhar  Ramaswamy,,,,Capturing Best Practice for Microarray Gene Expression Data Analysis,407--415,,9,"Clementine, application template, data mining process, gene expression, microarrays",10.1145/956750.956797,,,,,,,2003,,Proceedings of the Ninth ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,KDD '03,,1-58113-737-0,"Washington, D.C.",ACM,"New York, NY, USA"
7407,2034854,Joost  Bosman and Rob  van der Mei and Gerard  Hoekstra,,,,Poster: Optimal Dispatching Policies for Parallel Processor Sharing Nodes with Partial Information,70--70,,1,,10.1145/2034832.2034854,SIGMETRICS Perform. Eval. Rev.,11-Sep,39,2,,September,2011,0163-5999,,,,,,ACM,"New York, NY, USA"
7408,1056926,Jun  Gong and Bryan  Haggerty and Peter  Tarasewich,,,,An Enhanced Multitap Text Entry Method with Predictive Next-letter Highlighting,1399--1402,,4,"mobile device interface design, predictive keypad text entry",10.1145/1056808.1056926,,,,,,,2005,,CHI '05 Extended Abstracts on Human Factors in Computing Systems,CHI EA '05,,1-59593-002-7,"Portland, OR, USA",ACM,"New York, NY, USA"
7409,2505809,Cornelia  Caragea and C. Lee Giles and Lior  Rokach and Xiaozhong  Liu,,,,2013 International Workshop on Computational Scientometrics: Theory and Applications,2545--2546,,2,"citation classification, co-author collaboration, committee recommendation, expert search",10.1145/2505515.2505809,,,,,,,2013,,Proceedings of the 22Nd ACM International Conference on Information & Knowledge Management,CIKM '13,,978-1-4503-2263-8,"San Francisco, California, USA",ACM,"New York, NY, USA"
7410,1119892,Tomas  Henriksson and Dake  Liu,,,,Implementation of Fast CRC Calculation,563--564,,2,,10.1145/1119772.1119892,,,,,,,2003,,Proceedings of the 2003 Asia and South Pacific Design Automation Conference,ASP-DAC '03,,0-7803-7660-9,"Kitakyushu, Japan",ACM,"New York, NY, USA"
7411,1148200,Fernando  Diaz and Donald  Metzler,,,,Improving the Estimation of Relevance Models Using Large External Corpora,154--161,,8,"language models, pseudo-relevance feedback, relevance feedback, relevance models",10.1145/1148170.1148200,,,,,,,2006,,Proceedings of the 29th Annual International ACM SIGIR Conference on Research and Development in Information Retrieval,SIGIR '06,,1-59593-369-7,"Seattle, Washington, USA",ACM,"New York, NY, USA"
7412,1509749,Kwangok  Jeong and Andrew B. Kahng,,,,Timing Analysis and Optimization Implications of Bimodal CD Distribution in Double Patterning Lithography,486--491,,6,,,,,,,,,2009,,Proceedings of the 2009 Asia and South Pacific Design Automation Conference,ASP-DAC '09,,978-1-4244-2748-2,"Yokohama, Japan",IEEE Press,"Piscataway, NJ, USA"
7413,1698855,Arzad A. Kherani and Skanda N. Muthaiah and Smruti  Padhy and Debojyoti  Bhattacharya,,,,Reliable and Secure Broadcast Communication over Resource Constrained Systems,25:1--25:10,25,10,,10.4108/ICST.VALUETOOLS2009.7643,,,,,,,2009,,Proceedings of the Fourth International ICST Conference on Performance Evaluation Methodologies and Tools,VALUETOOLS '09,,978-963-9799-70-7,"Pisa, Italy","ICST (Institute for Computer Sciences, Social-Informatics and Telecommunications Engineering)","ICST, Brussels, Belgium, Belgium"
7414,1582680,Kyu-Sung  Hwang and Young-Chai  Ko and Mohamed-Slim  Alouini,,,,Two-way Amplify and Forward Relaying with Adaptive Modulation,1370--1374,,5,"amplify-and-forward relaying, and adaptive modulation, half-duplex transmission, two-way relaying",10.1145/1582379.1582680,,,,,,,2009,,Proceedings of the 2009 International Conference on Wireless Communications and Mobile Computing: Connecting the World Wirelessly,IWCMC '09,,978-1-60558-569-7,"Leipzig, Germany",ACM,"New York, NY, USA"
7415,1516243,Wei Kuang Lai and Chin-Shiuh  Shieh and Chih-Shiuan  Jiang,,,,Performance Enhancement for IEEE 802.11e Networks by Adaptive Adjustment of the HCCA/EDCA Ratio,1--6,,6,"802.11e, CBR, EDCA, HCCA, VBR",10.1145/1516241.1516243,,,,,,,2009,,Proceedings of the 3rd International Conference on Ubiquitous Information Management and Communication,ICUIMC '09,,978-1-60558-405-8,"Suwon, Korea",ACM,"New York, NY, USA"
7416,2484156,William  Webber and Jeremy  Pickens,,,,Assessor Disagreement and Text Classifier Accuracy,929--932,,4,"assessor disagreement, evaluation, text classification",10.1145/2484028.2484156,,,,,,,2013,,Proceedings of the 36th International ACM SIGIR Conference on Research and Development in Information Retrieval,SIGIR '13,,978-1-4503-2034-4,"Dublin, Ireland",ACM,"New York, NY, USA"
7417,1837417,Yang  Ge and Parth  Malani and Qinru  Qiu,,,,Distributed Task Migration for Thermal Management in Many-core Systems,579--584,,6,"distributed control, dynamic thermal management, prediction",10.1145/1837274.1837417,,,,,,,2010,,Proceedings of the 47th Design Automation Conference,DAC '10,,978-1-4503-0002-5,"Anaheim, California",ACM,"New York, NY, USA"
7418,2445573,Yunji  Chen and Tianshi  Chen and Ling  Li and Ruiyang  Wu and Daofu  Liu and Weiwu  Hu,,,,Deterministic Replay Using Global Clock,1:1--1:28,1,28,"CMP, Deterministic replay, design for debug, global clock, pending period, physical time order",10.1145/2445572.2445573,ACM Trans. Archit. Code Optim.,13-Apr,10,1,,April,2013,1544-3566,,,,,,ACM,"New York, NY, USA"
7419,1404415,Jorge  Oliveros and Dwight  Cabrera and Elkim  Roa and Wilhelmus  Van Noije,,,,An Improved and Automated Design Tool for the Optimization of CMOS OTAs Using Geometric Programming,146--151,,6,"OTA design, analog CAD, analog circuit optimization, design methodologies, geometric programming",10.1145/1404371.1404415,,,,,,,2008,,Proceedings of the 21st Annual Symposium on Integrated Circuits and System Design,SBCCI '08,,978-1-60558-231-3,"Gramado, Brazil",ACM,"New York, NY, USA"
